Rank,County,Population
1,Los Angeles County,"10,098,052"
2,San Diego County,"3,302,833"
3,Orange County,"3,164,182"
4,Riverside County,"2,383,286"
5,San Bernardino County,"2,135,413"
6,Santa Clara County,"1,922,200"
7,Alameda County,"1,643,700"
8,Sacramento County,"1,510,023"
9,Contra Costa County,"1,133,247"
10,Fresno County,"978,130"
11,Kern County,"883,053"
12,San Francisco County,"870,044"
13,Ventura County,"848,112"
14,San Mateo County,"765,935"
15,San Joaquin County,"732,212"
16,Stanislaus County,"539,301"
17,Sonoma County,"501,317"
18,Tulare County,"460,477"
19,Santa Barbara County,"443,738"
20,Solano County,"438,530"
21,Monterey County,"433,212"
22,Placer County,"380,077"
23,San Luis Obispo County,"281,455"
24,Santa Cruz County,"273,765"
25,Merced County,"269,075"
26,Marin County,"260,295"
27,Butte County,"227,075"
28,Yolo County,"214,977"
29,El Dorado County,"186,661"
30,Imperial County,"180,216"
31,Shasta County,"179,085"
32,Madera County,"155,013"
33,Kings County,"150,075"
34,Napa County,"140,530"
35,Humboldt County,"135,768"
36,Nevada County,"99,092"
37,Sutter County,"95,872"
38,Mendocino County,"87,422"
39,Yuba County,"75,493"
40,Lake County,"64,148"
41,Tehama County,"63,373"
42,San Benito County,"59,416"
43,Tuolumne County,"53,932"
44,Calaveras County,"45,235"
45,Siskiyou County,"43,540"
46,Amador County,"37,829"
47,Lassen County,"31,185"
48,Glenn County,"27,897"
49,Del Norte County,"27,424"
50,Colusa County,"21,464"
51,Plumas County,"18,699"
52,Inyo County,"18,085"
53,Mariposa County,"17,540"
54,Mono County,"14,174"
55,Trinity County,"12,862"
56,Modoc County,"8,938"
57,Sierra County,"2,930"
58,Alpine County,"1,146"